,name,human_eq_type,location,serving,status,date,status2,date2,time_spent
3160,125th St,An elevator,,Mezzanine And Downtown,FIXED,2017-03-14 18:28:41,,,
2999,125th St,An elevator,,Mezzanine And Downtown,OUTAGE,2017-03-15 12:18:12,FIXED,2017-03-15 13:08:33,0 days 00:50:21.000000000
678,125th St,An elevator,,Mezzanine And Downtown,OUTAGE,2017-03-29 03:38:37,FIXED,2017-03-29 09:09:04,0 days 05:30:27.000000000
354,125th St,An elevator,,Mezzanine And Downtown,OUTAGE,2017-03-30 18:28:44,FIXED,2017-03-30 21:58:46,0 days 03:30:02.000000000
1960,125th St,An elevator,,Mezzanine And Uptown,OUTAGE,2017-03-21 18:09:13,FIXED,2017-03-22 00:58:46,0 days 06:49:33.000000000
482,125th St,An elevator,,Mezzanine And Uptown,OUTAGE,2017-03-30 04:18:39,FIXED,2017-03-30 09:38:27,0 days 05:19:48.000000000
2083,125th St,An elevator,,Mezzanine To Uptown And Downtown Platforms,OUTAGE,2017-03-21 02:18:33,FIXED,2017-03-21 06:08:45,0 days 03:50:12.000000000
1954,125th St,An elevator,,Mezzanine To Uptown And Downtown Platforms,OUTAGE,2017-03-21 18:48:34,FIXED,2017-03-21 21:18:43,0 days 02:30:09.000000000
642,125th St,An elevator,,Mezzanine To Uptown And Downtown Platforms,OUTAGE,2017-03-29 08:28:53,FIXED,2017-03-29 14:09:03,0 days 05:40:10.000000000
3192,125th St,An elevator,,Street To Mezzanine And Downtown Platform,FIXED,2017-03-14 16:09:00,,,
3064,125th St,An elevator,,Street To Mezzanine And Downtown Platform,OUTAGE,2017-03-15 05:38:21,FIXED,2017-03-15 09:28:32,0 days 03:50:11.000000000
2519,125th St,An elevator,,Street To Mezzanine And Downtown Platform,OUTAGE,2017-03-18 04:48:29,FIXED,2017-03-18 06:38:19,0 days 01:49:50.000000000
1883,125th St,An elevator,,Street To Mezzanine And Downtown Platform,OUTAGE,2017-03-22 03:58:23,FIXED,2017-03-22 08:58:35,0 days 05:00:12.000000000
1585,125th St,An elevator,,Street To Mezzanine And Downtown Platform,OUTAGE,2017-03-23 13:48:44,FIXED,2017-03-23 16:08:52,0 days 02:20:08.000000000
971,125th St,An elevator,,Street To Mezzanine And Downtown Platform,OUTAGE,2017-03-27 14:58:25,FIXED,2017-03-28 17:28:37,1 days 02:30:12.000000000
3089,125th St,An elevator,NE corner of 125th Street and Lexington Avenue,Street To Mezzanine,OUTAGE,2017-03-15 03:48:29,FIXED,2017-03-15 08:58:14,0 days 05:09:45.000000000
2898,125th St,An elevator,NE corner of 125th Street and Lexington Avenue,Street To Mezzanine,OUTAGE,2017-03-16 03:38:48,FIXED,2017-03-16 08:58:19,0 days 05:19:31.000000000
2765,125th St,An elevator,NE corner of 125th Street and Lexington Avenue,Street To Mezzanine,OUTAGE,2017-03-16 19:28:58,FIXED,2017-03-16 23:18:38,0 days 03:49:40.000000000
2447,125th St,An elevator,NE corner of 125th Street and Lexington Avenue,Street To Mezzanine,OUTAGE,2017-03-18 16:48:54,FIXED,2017-03-18 17:38:46,0 days 00:49:52.000000000
1963,125th St,An elevator,NE corner of 125th Street and Lexington Avenue,Street To Mezzanine,OUTAGE,2017-03-21 17:58:51,FIXED,2017-03-21 20:28:50,0 days 02:29:59.000000000
46,125th St,An elevator,NE corner of 125th Street and Lexington Avenue,Street To Mezzanine,OUTAGE,2017-04-01 06:18:47,FIXED,2017-04-01 09:28:32,0 days 03:09:45.000000000
3189,125th St,An elevator,SW corner of 125 Street and Saint Nicholas Avenue,Street To Mezzanine,FIXED,2017-03-14 16:18:17,,,
2992,125th St,An elevator,SW corner of 125 Street and Saint Nicholas Avenue,Street To Mezzanine,OUTAGE,2017-03-15 13:28:33,FIXED,2017-03-16 01:09:01,0 days 11:40:28.000000000
2779,125th St,An elevator,SW corner of 125 Street and Saint Nicholas Avenue,Street To Mezzanine,OUTAGE,2017-03-16 18:28:25,FIXED,2017-03-17 03:28:27,0 days 09:00:02.000000000
1368,125th St,An elevator,SW corner of 125 Street and Saint Nicholas Avenue,Street To Mezzanine,OUTAGE,2017-03-24 17:58:25,FIXED,2017-03-24 21:38:37,0 days 03:40:12.000000000
