"station","borough","equipmenttype","serving","ADA","line"
"125 St","MN","EL","MEZZANINE AND DOWNTOWN","Y","A"
"125 St","MN","EL","MEZZANINE AND UPTOWN","Y","A"
"125 St","MN","EL","MEZZANINE TO UPTOWN AND DOWNTOWN PLATFORMS","Y","4"
"125 St","MN","ES","STREET TO MEZZANINE","N","1"
"125 St","MN","ES","STREET TO MEZZANINE","N","1"
"125 St","MN","EL","STREET TO MEZZANINE","Y","4"
"125 St","MN","EL","STREET TO MEZZANINE","Y","A"
"125 St","MN","ES","STREET TO MEZZANINE","N","1"
"135 St","MN","EL","STREET TO MEZZANINE & UPTOWN PLATFORM","Y","2"
"135 St","MN","EL","STREET TO MEZZANINE AND DOWNTOWN PLATFORM","Y","2"
"14 St","MN","EL","MEZZANINE TO DOWNTOWN A,C&E PLATFORM","Y","A"
"14 St","MN","EL","MEZZANINE TO L PLATFORM","Y","L"
"14 St","MN","EL","MEZZANINE TO UPTOWN A,C&E PLATFORM","Y","A"
"14 St","MN","EL","STREET TO MEZZANINE","Y","A"
"14 St - Union Sq","MN","EL","MEZZANINE TO DOWNTOWN PLATFORM(N&R)","Y","L"
"14 St - Union Sq","MN","EL","MEZZANINE TO UPTOWN PLATFORM N,Q,R","Y","L"
"14 St - Union Sq","MN","EL","STREET TO MEZZANINE","Y","L"
"14 St - Union Sq","MN","ES","STREET TO MEZZANINE ALL TRAINS","N","L"
"14 St - Union Sq","MN","ES","STREET TO MEZZANINE ALL TRAINS","N","L"
"145 St","MN","ES","NORTHBOUND LL PLATFORM TO UPPER MEZZANINE","N","A"
"145 St","MN","ES","NORTHBOUND LL PLATFORM TO UPPER MEZZANINE","N","A"
"149 St - 3 Av","BX","EL","STREET TO DOWNTOWN PLATFORM","Y","2"
"149 St - 3 Av","BX","EL","STREET TO UPTOWN PLATFORM","Y","2"
"161 St - Yankee Stadium","BX","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","4"
