"station","borough","trainno","equipmentno","equipmenttype","serving","ADA"
"125 St","MN","A/B/C/D","EL143","EL","MEZZANINE AND DOWNTOWN","Y"
"125 St","MN","A/B/C/D","EL144","EL","MEZZANINE AND UPTOWN","Y"
"125 St","MN","4/5/6/METRO-NORTH","EL126","EL","MEZZANINE TO UPTOWN AND DOWNTOWN PLATFORMS","Y"
"125 St","MN","1","ES101","ES","STREET TO MEZZANINE","N"
"125 St","MN","1","ES103","ES","STREET TO MEZZANINE","N"
"125 St","MN","4/5/6/METRO-NORTH","EL125","EL","STREET TO MEZZANINE","Y"
"125 St","MN","A/B/C/D","EL142","EL","STREET TO MEZZANINE","Y"
"125 St","MN","1","ES102","ES","STREET TO MEZZANINE","N"
"135 St","MN","2/3","EL180","EL","STREET TO MEZZANINE & UPTOWN PLATFORM","Y"
"135 St","MN","2/3","EL181","EL","STREET TO MEZZANINE AND DOWNTOWN PLATFORM","Y"
"14 St","MN","A/C/E","EL222","EL","MEZZANINE TO DOWNTOWN A,C&E PLATFORM","Y"
"14 St","MN","L","EL218","EL","MEZZANINE TO L PLATFORM","Y"
"14 St","MN","A/C/E","EL223","EL","MEZZANINE TO UPTOWN A,C&E PLATFORM","Y"
"14 St","MN","A/C/E","EL221","EL","STREET TO MEZZANINE","Y"
"14 St - Union Sq","MN","L/N/Q/R/W","EL220","EL","MEZZANINE TO DOWNTOWN PLATFORM(N&R)","Y"
"14 St - Union Sq","MN","L/N/Q/R/W","EL219","EL","MEZZANINE TO UPTOWN PLATFORM N,Q,R","Y"
"14 St - Union Sq","MN","L/N/Q/R/W","EL217","EL","STREET TO MEZZANINE","Y"
"14 St - Union Sq","MN","L/N/Q/R/W","ES258X","ES","STREET TO MEZZANINE ALL TRAINS","N"
"14 St - Union Sq","MN","L/N/Q/R/W","ES257X","ES","STREET TO MEZZANINE ALL TRAINS","N"
"145 St","MN","A/B/C/D","ES116","ES","NORTHBOUND LL PLATFORM TO UPPER MEZZANINE","N"
"145 St","MN","A/B/C/D","ES115","ES","NORTHBOUND LL PLATFORM TO UPPER MEZZANINE","N"
"3 Av - 149 St","BX","2/5","EL130","EL","STREET TO DOWNTOWN PLATFORM","Y"
"3 Av - 149 St","BX","2/5","EL129","EL","STREET TO UPTOWN PLATFORM","Y"
"161 St - Yankee Stadium","BX","4/B/D","ES113","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
"161 St - Yankee Stadium","BX","4/B/D","ES114","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
"161 St - Yankee Stadium","BX","4/B/D","EL134","EL","MEZZANINE TO DOWNTOWN B, D","Y"
"161 St - Yankee Stadium","BX","4/B/D","EL135","EL","MEZZANINE TO UPTOWN B, D","Y"
"161 St - Yankee Stadium","BX","4/B/D","EL132","EL","MEZZANINES TO  UPTOWN 4 PLATFORM","Y"
"161 St - Yankee Stadium","BX","4/B/D","EL133","EL","MEZZANINES TO DOWNTOWN 4 PLATFORM","Y"
"161 St - Yankee Stadium","BX","4/B/D","EL131","EL","STREET TO MEZZANINE","Y"
"168 St","MN","1","EL113","EL","LOWER MEZZANINE TO UPPER MEZZANINE","N"
"168 St","MN","1","EL114","EL","LOWER MEZZANINE TO UPPER MEZZANINE","N"
"168 St","MN","1","EL111","EL","LOWER MEZZANINE TO UPPER MEZZANINE","N"
"168 St","MN","1","EL112","EL","LOWER MEZZANINE TO UPPER MEZZANINE","N"
