"","station","borough","trainno","equipmentno","equipmenttype","serving","ADA","Station.ID","Complex.ID","GTFS.Stop.ID","Division","Line","Stop.Name","Borough","Daytime.Routes","Structure","Latitude","Longitude"
"1","125 St","MN","A/B/C/D","EL143","EL","MEZZANINE AND DOWNTOWN","Y",439,439,"225","IRT","Lenox - White Plains Rd","125 St","M","2 3","Subway",40.807754,-73.945495
"2","125 St","MN","A/B/C/D","EL143","EL","MEZZANINE AND DOWNTOWN","Y",392,392,"621","IRT","Lexington - Shuttle","125 St","M","4 5 6","Subway",40.804138,-73.937594
"3","125 St","MN","A/B/C/D","EL143","EL","MEZZANINE AND DOWNTOWN","Y",153,153,"A15","IND","8th Av - Fulton St","125 St","M","A B C D","Subway",40.811109,-73.952343
"4","125 St","MN","A/B/C/D","EL143","EL","MEZZANINE AND DOWNTOWN","Y",306,306,"116","IRT","Broadway - 7Av","125 St","M","1","Elevated",40.815581,-73.958372
"5","125 St","MN","A/B/C/D","EL144","EL","MEZZANINE AND UPTOWN","Y",439,439,"225","IRT","Lenox - White Plains Rd","125 St","M","2 3","Subway",40.807754,-73.945495
"6","125 St","MN","A/B/C/D","EL144","EL","MEZZANINE AND UPTOWN","Y",392,392,"621","IRT","Lexington - Shuttle","125 St","M","4 5 6","Subway",40.804138,-73.937594
"7","125 St","MN","A/B/C/D","EL144","EL","MEZZANINE AND UPTOWN","Y",153,153,"A15","IND","8th Av - Fulton St","125 St","M","A B C D","Subway",40.811109,-73.952343
"8","125 St","MN","A/B/C/D","EL144","EL","MEZZANINE AND UPTOWN","Y",306,306,"116","IRT","Broadway - 7Av","125 St","M","1","Elevated",40.815581,-73.958372
"9","125 St","MN","4/5/6/METRO-NORTH","EL126","EL","MEZZANINE TO UPTOWN AND DOWNTOWN PLATFORMS","Y",439,439,"225","IRT","Lenox - White Plains Rd","125 St","M","2 3","Subway",40.807754,-73.945495
"10","125 St","MN","4/5/6/METRO-NORTH","EL126","EL","MEZZANINE TO UPTOWN AND DOWNTOWN PLATFORMS","Y",392,392,"621","IRT","Lexington - Shuttle","125 St","M","4 5 6","Subway",40.804138,-73.937594
"11","125 St","MN","4/5/6/METRO-NORTH","EL126","EL","MEZZANINE TO UPTOWN AND DOWNTOWN PLATFORMS","Y",153,153,"A15","IND","8th Av - Fulton St","125 St","M","A B C D","Subway",40.811109,-73.952343
"12","125 St","MN","4/5/6/METRO-NORTH","EL126","EL","MEZZANINE TO UPTOWN AND DOWNTOWN PLATFORMS","Y",306,306,"116","IRT","Broadway - 7Av","125 St","M","1","Elevated",40.815581,-73.958372
"13","125 St","MN","1","ES102","ES","STREET TO MEZZANINE","N",439,439,"225","IRT","Lenox - White Plains Rd","125 St","M","2 3","Subway",40.807754,-73.945495
"14","125 St","MN","1","ES102","ES","STREET TO MEZZANINE","N",392,392,"621","IRT","Lexington - Shuttle","125 St","M","4 5 6","Subway",40.804138,-73.937594
"15","125 St","MN","1","ES102","ES","STREET TO MEZZANINE","N",153,153,"A15","IND","8th Av - Fulton St","125 St","M","A B C D","Subway",40.811109,-73.952343
"16","125 St","MN","1","ES102","ES","STREET TO MEZZANINE","N",306,306,"116","IRT","Broadway - 7Av","125 St","M","1","Elevated",40.815581,-73.958372
"17","125 St","MN","1","ES101","ES","STREET TO MEZZANINE","N",439,439,"225","IRT","Lenox - White Plains Rd","125 St","M","2 3","Subway",40.807754,-73.945495
"18","125 St","MN","1","ES101","ES","STREET TO MEZZANINE","N",392,392,"621","IRT","Lexington - Shuttle","125 St","M","4 5 6","Subway",40.804138,-73.937594
"19","125 St","MN","1","ES101","ES","STREET TO MEZZANINE","N",153,153,"A15","IND","8th Av - Fulton St","125 St","M","A B C D","Subway",40.811109,-73.952343
"20","125 St","MN","1","ES101","ES","STREET TO MEZZANINE","N",306,306,"116","IRT","Broadway - 7Av","125 St","M","1","Elevated",40.815581,-73.958372
"21","125 St","MN","1","ES103","ES","STREET TO MEZZANINE","N",439,439,"225","IRT","Lenox - White Plains Rd","125 St","M","2 3","Subway",40.807754,-73.945495
"22","125 St","MN","1","ES103","ES","STREET TO MEZZANINE","N",392,392,"621","IRT","Lexington - Shuttle","125 St","M","4 5 6","Subway",40.804138,-73.937594
"23","125 St","MN","1","ES103","ES","STREET TO MEZZANINE","N",153,153,"A15","IND","8th Av - Fulton St","125 St","M","A B C D","Subway",40.811109,-73.952343
"24","125 St","MN","1","ES103","ES","STREET TO MEZZANINE","N",306,306,"116","IRT","Broadway - 7Av","125 St","M","1","Elevated",40.815581,-73.958372
"25","125 St","MN","A/B/C/D","EL142","EL","STREET TO MEZZANINE","Y",439,439,"225","IRT","Lenox - White Plains Rd","125 St","M","2 3","Subway",40.807754,-73.945495
"26","125 St","MN","A/B/C/D","EL142","EL","STREET TO MEZZANINE","Y",392,392,"621","IRT","Lexington - Shuttle","125 St","M","4 5 6","Subway",40.804138,-73.937594
"27","125 St","MN","A/B/C/D","EL142","EL","STREET TO MEZZANINE","Y",153,153,"A15","IND","8th Av - Fulton St","125 St","M","A B C D","Subway",40.811109,-73.952343
"28","125 St","MN","A/B/C/D","EL142","EL","STREET TO MEZZANINE","Y",306,306,"116","IRT","Broadway - 7Av","125 St","M","1","Elevated",40.815581,-73.958372
"29","125 St","MN","4/5/6/METRO-NORTH","EL125","EL","STREET TO MEZZANINE","Y",439,439,"225","IRT","Lenox - White Plains Rd","125 St","M","2 3","Subway",40.807754,-73.945495
"30","125 St","MN","4/5/6/METRO-NORTH","EL125","EL","STREET TO MEZZANINE","Y",392,392,"621","IRT","Lexington - Shuttle","125 St","M","4 5 6","Subway",40.804138,-73.937594
"31","125 St","MN","4/5/6/METRO-NORTH","EL125","EL","STREET TO MEZZANINE","Y",153,153,"A15","IND","8th Av - Fulton St","125 St","M","A B C D","Subway",40.811109,-73.952343
"32","125 St","MN","4/5/6/METRO-NORTH","EL125","EL","STREET TO MEZZANINE","Y",306,306,"116","IRT","Broadway - 7Av","125 St","M","1","Elevated",40.815581,-73.958372
"33","135 St","MN","2/3","EL181","EL","STREET TO MEZZANINE AND DOWNTOWN PLATFORM","Y",438,438,"224","IRT","Lenox - White Plains Rd","135 St","M","2 3","Subway",40.814229,-73.94077
"34","135 St","MN","2/3","EL181","EL","STREET TO MEZZANINE AND DOWNTOWN PLATFORM","Y",152,152,"A14","IND","8th Av - Fulton St","135 St","M","B C","Subway",40.817894,-73.947649
"35","135 St","MN","2/3","EL180","EL","STREET TO MEZZANINE & UPTOWN PLATFORM","Y",438,438,"224","IRT","Lenox - White Plains Rd","135 St","M","2 3","Subway",40.814229,-73.94077
"36","135 St","MN","2/3","EL180","EL","STREET TO MEZZANINE & UPTOWN PLATFORM","Y",152,152,"A14","IND","8th Av - Fulton St","135 St","M","B C","Subway",40.817894,-73.947649
