"station","EL","ES","PW"
"Fulton St",19,12,NA
"Atlantic Av-Barclays Ctr",10,3,NA
"168 St",7,NA,NA
"181 St",7,3,NA
"34 St - Penn",7,NA,NA
"72 St / 2 Av",7,10,NA
"Lexington Av / 63 St",7,12,NA
"Sutphin Blvd - Archer Av - JFK Airport",7,6,NA
"34 St - Herald Sq",6,12,NA
"Howard Beach",6,4,NA
"125 St",5,3,NA
"161 St - Yankee Stadium",5,2,NA
"59 St - Columbus Cir",5,NA,NA
"61 St - Woodside",5,1,NA
"Broadway-Lafayette/Bleecker St",5,1,NA
"Church Av",5,NA,NA
"Jay St - MetroTech",5,6,NA
"Times Sq - 42 St",5,7,NA
"14 St",4,NA,NA
"191 St",4,NA,NA
"34 St - Hudson Yards",4,9,NA
"42 St - Bryant Park",4,NA,NA
"42 St - Grand Central",4,13,NA
"42 St - Port Authority Bus Terminal",4,2,NA
"Jackson Hts - Roosevelt Av",4,5,NA
"14 St - Union Sq",3,2,NA
"179 St - Jamaica",3,NA,NA
"190 St",3,NA,NA
"21 St - Queensbridge",3,6,NA
"233 St",3,NA,NA
"47-50 St - Rockefeller Ctr",3,NA,NA
"Bay Parkway",3,NA,NA
"Brooklyn Bridge - City Hall",3,NA,NA
"Chambers St",3,NA,NA
"Clark St",3,NA,NA
"Coney Island Stillwell Av",3,NA,NA
"Court Square",3,4,NA
"Dekalb Av",3,2,NA
"Euclid Av",3,NA,NA
"Flushing Av",3,NA,NA
"Fordham Rd",3,NA,NA
"Forest Hills - 71 Av",3,NA,NA
"Hunts Point",3,NA,NA
"Junction Blvd",3,NA,NA
"Kew Gardens / Union Tpk",3,NA,NA
"Kingsbridge Road",3,NA,NA
"Myrtle Av / Wyckoff Av",3,2,NA
"Pelham Pkwy",3,2,NA
"Queens Plaza",3,NA,NA
"Utica Av",3,NA,NA
"West 4 St - Washington Sq",3,2,NA
"135 St",2,NA,NA
"149 St - 3 Av",2,NA,NA
"175 St",2,NA,NA
"207 St - Inwood",2,NA,NA
"23 St",2,NA,NA
"231 St",2,NA,NA
"50 St",2,2,NA
"66 St - Lincoln Center",2,NA,NA
"72 St",2,NA,NA
"86 St / 2 Av",2,13,NA
"96 St",2,NA,NA
"96 St / 2 Av",2,9,NA
"Borough Hall",2,1,NA
"Bowling Green",2,9,NA
"Canal St",2,NA,NA
"Court St",2,2,NA
"Crown Hts - Utica Av",2,NA,NA
"East 180 St",2,NA,NA
"Far Rockaway - Mott Av",2,NA,NA
"Franklin Av",2,1,NA
"Gun Hill Rd",2,2,NA
"Jamaica - Van Wyck",2,5,NA
"Jamaica Center Parsons/Archer",2,10,NA
"Kings Highway",2,NA,NA
"Lexington Av / 53 St",2,7,NA
"Marcy Av",2,NA,NA
"Pelham Bay Park",2,2,NA
"Prospect Park",2,NA,NA
"Roosevelt Island",2,10,NA
"Simpson St",2,NA,NA
"South Ferry",2,7,NA
"28 St",1,NA,NA
"49 St",1,NA,NA
"57 St - 7 Av",1,NA,NA
"8 Av",1,NA,NA
"Briarwood/Van Wyck Blvd",1,NA,NA
"Corona Yard Signal Tower",1,NA,NA
"Dyckman St",1,NA,NA
"Dyckman St Quarters",1,NA,NA
"Flatbush Av Brooklyn College",1,NA,NA
"Flushing Main St",1,3,NA
"Rockaway Park - Beach 116 St",1,NA,NA
"145 St",NA,2,NA
"205 St - Norwood",NA,1,NA
"5 Av / 53 St",NA,4,NA
"51 St",NA,1,NA
"59 St",NA,4,NA
"599 Lexington Av",NA,1,NA
"7 Av",NA,2,NA
"Bowery",NA,1,NA
"Brighton Beach",NA,1,NA
"Broadway Junction",NA,3,NA
"Columbus Circle",NA,2,NA
"Cortlandt St",NA,1,NA
"Court Square - 23 St",NA,NA,2
"Delancey St Essex St",NA,2,NA
"East Broadway",NA,1,NA
"High St",NA,5,NA
"Intervale Av",NA,1,NA
"Lexington Av / 59 St",NA,3,NA
"Park Place",NA,2,NA
"Parkchester",NA,1,NA
"President St",NA,1,NA
"Smith - 9 Sts",NA,6,NA
"Wall St",NA,2,NA
"West 8 St - NY Aquarium",NA,1,NA
"West Farms Sq - E Tremont Av",NA,1,NA
"Whitehall St - South Ferry",NA,3,NA
