"stop_name","lat","lon","equipmenttype","ADA","n"
"Van Cortlandt Park - 242 St",40.889248,-73.898583,NA,"N",0
"238 St",40.884667,-73.90087,NA,"N",0
"231 St",40.878856,-73.904834,"EL","Y",2
"Marble Hill - 225 St",40.874561,-73.909831,NA,"N",0
"215 St",40.869444,-73.915279,NA,"N",0
"207 St",40.864621,-73.918822,NA,"N",0
"Dyckman St",40.860531,-73.925536,"EL","Y",2
"191 St",40.855225,-73.929412,"EL","N",4
"181 St",40.849505,-73.933596,"EL","N",14
"181 St",40.849505,-73.933596,"ES","N",6
"168 St - Washington Hts",40.840556,-73.940133,NA,"N",0
"157 St",40.834041,-73.94489,NA,"N",0
"145 St",40.826551,-73.95036,"ES","N",6
"137 St - City College",40.822008,-73.953676,NA,"N",0
"125 St",40.815581,-73.958372,"EL","Y",20
"125 St",40.815581,-73.958372,"ES","N",12
"116 St - Columbia University",40.807722,-73.96411,NA,"N",0
"Cathedral Pkwy",40.803967,-73.966847,NA,"N",0
"103 St",40.799446,-73.968379,NA,"N",0
"96 St",40.793919,-73.972323,"EL","Y",16
"96 St",40.793919,-73.972323,"ES","N",36
"86 St",40.788644,-73.976218,"EL","Y",12
"86 St",40.788644,-73.976218,"ES","N",78
"79 St",40.783934,-73.979917,NA,"N",0
"72 St",40.778453,-73.98197,"EL","Y",27
"72 St",40.778453,-73.98197,"ES","N",30
"66 St - Lincoln Center",40.77344,-73.982209,"EL","Y",2
"59 St - Columbus Circle",40.768247,-73.981929,"EL","Y",10
"59 St - Columbus Circle",40.768247,-73.981929,"ES","N",4
"50 St",40.761728,-73.983849,"EL","Y",6
"50 St",40.761728,-73.983849,"ES","N",6
"Times Sq - 42 St",40.75529,-73.987495,"EL","N",4
"Times Sq - 42 St",40.75529,-73.987495,"EL","Y",16
"Times Sq - 42 St",40.75529,-73.987495,"ES","N",28
"34 St - Penn Station",40.750373,-73.991057,"EL","Y",14
"28 St",40.747215,-73.993365,"EL","N",3
"23 St",40.744081,-73.995657,"EL","Y",10
"18 St",40.74104,-73.997871,NA,"N",0
"14 St",40.737826,-74.000201,"EL","Y",12
"Christopher St - Sheridan Sq",40.733422,-74.002906,NA,"N",0
"Houston St",40.728251,-74.005367,NA,"N",0
"Canal St",40.722854,-74.006277,"EL","Y",12
"Franklin St",40.719318,-74.006886,NA,"N",0
"Chambers St",40.715478,-74.009266,"EL","Y",9
"Cortlandt St",40.711835,-74.012188,"ES","N",2
"Rector St",40.707513,-74.013783,NA,"N",0
"South Ferry Loop",40.701411,-74.013205,NA,"N",0
"South Ferry",40.702068,-74.013664,"EL","Y",2
"South Ferry",40.702068,-74.013664,"ES","N",7
"Wakefield - 241 St",40.903125,-73.85062,NA,"N",0
"Nereid Av",40.898379,-73.854376,NA,"N",0
"233 St",40.893193,-73.857473,"EL","Y",3
"225 St",40.888022,-73.860341,NA,"N",0
"219 St",40.883895,-73.862633,NA,"N",0
"Gun Hill Rd",40.87785,-73.866256,"EL","Y",4
"Gun Hill Rd",40.87785,-73.866256,"ES","N",4
"Burke Av",40.871356,-73.867164,NA,"N",0
"Allerton Av",40.865462,-73.867352,NA,"N",0
"Pelham Pkwy",40.857192,-73.867615,"EL","Y",6
"Pelham Pkwy",40.857192,-73.867615,"ES","N",4
"Bronx Park East",40.848828,-73.868457,NA,"N",0
"E 180 St",40.841894,-73.873488,"EL","Y",2
"West Farms Sq - E Tremont Av",40.840295,-73.880049,"ES","N",1
"174 St",40.837288,-73.887734,NA,"N",0
"Freeman St",40.829993,-73.891865,NA,"N",0
"Simpson St",40.824073,-73.893064,"EL","Y",2
"Intervale Av",40.822181,-73.896736,"ES","N",1
"Prospect Av",40.819585,-73.90177,NA,"N",0
"Jackson Av",40.81649,-73.907807,NA,"N",0
"3 Av - 149 St",40.816109,-73.917757,"EL","Y",2
"149 St - Grand Concourse",40.81841,-73.926718,NA,"N",0
"135 St",40.814229,-73.94077,"EL","Y",4
"125 St",40.807754,-73.945495,"EL","Y",20
"125 St",40.807754,-73.945495,"ES","N",12
"116 St",40.802098,-73.949625,NA,"N",0
"Central Park North (110 St)",40.799075,-73.951822,NA,"N",0
"Park Pl",40.713051,-74.008811,"ES","N",4
"Fulton St",40.709416,-74.006571,"EL","N",5
"Fulton St",40.709416,-74.006571,"EL","Y",90
"Fulton St",40.709416,-74.006571,"ES","N",60
"Wall St",40.706821,-74.0091,"ES","N",4
"Clark St",40.697466,-73.993086,"EL","N",3
"Borough Hall",40.693219,-73.989998,"EL","Y",4
"Borough Hall",40.693219,-73.989998,"ES","N",2
"Hoyt St",40.690545,-73.985065,NA,"N",0
"Nevins St",40.688246,-73.980492,NA,"N",0
"Atlantic Av - Barclays Ctr",40.684359,-73.977666,"EL","Y",30
