rowid,mta_name,mta_lines,mta_id,spacer,nyca_name,nyca_lines,nyca_id
0,103rd St,1,159,,103rd St,"('1',)",106
1,103rd St,4-6-6 Express,458,,103rd St,"('6',)",459
2,103rd St,A-B-C,161,,103rd St,"('B', 'C')",108
3,103rd St - Corona Plaza,7,189,,103rd St - Corona Plaza,"('7',)",146
4,104th St,A-S,98,,104th St,"('A',)",24
5,104th-102nd Sts,J-Z,14,,104th-102nd Sts,"('J', 'Z')",221
6,110th St,4-6-6 Express,450,,110th St,"('6',)",451
7,111th St,7,190,,111th St,"('7',)",147
8,111th St,A-S,83,,111th St,"('A',)",158
9,111th St,J,209,,111th St,"('J',)",174
10,116th St,3-Feb,170,,116th St,"('2', '3')",122
11,116th St,4-6-6 Express,462,,116th St,"('6',)",463
12,116th St,A-B-C,398,,116th St,"('B', 'C')",399
13,116th St - Columbia University,1,167,,116th St - Columbia University,"('1',)",118
14,121st St,J-Z,210,,121st St,"('J', 'Z')",175
15,125th St,1,287,,125th St,"('1',)",278
16,125th St,3-Feb,168,,125th St,"('2', '3')",119
17,125th St,4-5-6-6 Express,468,,125th St,"('4', '5', '6', '6e', 'mn')",469
18,125th St,A-B-C-D,399,,125th St,"('A', 'B', 'C', 'D')",400
19,135th St,3-Feb,169,,135th St,"('2', '3')",120
20,135th St,A-B-C,440,,135th St,"('B', 'C')",441
21,137th St - City College,1,172,,137th St - City College,"('1',)",125
22,138th St - Grand Concourse,5-Apr,141,,138th St - Grand Concourse,"('4', '5')",80
23,145th St,1,156,,145th St,"('1',)",103
24,145th St,3,173,,145th St,"('3',)",126
25,145th St,A-B-C-D,295,,145th St,"('A', 'B', 'C', 'D')",289
26,149th St - Grand Concourse,5-Feb,289,,149th St - Grand Concourse,"('2', '5', '4')",282
27,149th St - Grand Concourse,4,47,,14th St,"('1', '2', '3')",440
28,14th St,1/2/03,439,,14th St - 6 Av,"('L', 'F', 'M')",442
29,14th St,A-C-E,444,,14th St - 8 Av,"('L', 'A', 'C', 'E')",445
30,14th St,F-M,441,,,,445
31,155th St,A-C,411,,155th St,"('B', 'D')",290
32,155th St,B-D,296,,155th St,"('C',)",412
33,157th St,1,157,,157th St,"('1',)",104
34,15th St - Prospect Park,F-G,107,,15th St - Prospect Park,"('F', 'G')",38
35,161st St - Yankee Stadium,4,48,,161st St - Yankee Stadium,"('B', 'D', '4')",291
36,161st St - Yankee Stadium,B-D,297,,,,291
37,163rd St - Amsterdam Av,A-C,412,,163rd St - Amsterdam Av,"('C',)",413
38,167th St,4,291,,167th St,"('4',)",285
39,167th St,B-D,22,,167th St,"('B', 'D')",292
40,168th St,1,177,,168th St,"('A', 'C', '1')",133
41,168th St,A-C,58,,,,133
42,169th St,F,188,,169th St,"('F',)",145
43,170th St,4,264,,170th St,"('4',)",249
44,170th St,B-D,176,,170th St,"('B', 'D')",129
45,174th St,5-Feb,256,,174th St,"('2', '5')",240
46,174th-175th Sts,B-D,21,,174th-175th Sts,"('B', 'D')",130
47,175th St,A,180,,175th St,"('A',)",135
48,176th St,4,174,,176th St,"('4',)",127
49,181st St,1,178,,181st St,"('1',)",132
50,181st St,A,396,,181st St,"('A',)",397
51,182nd-183rd Sts,B-D,20,,182nd-183rd Sts,"('B', 'D')",124
52,183rd St,4,407,,183rd St,"('4',)",408
53,18th Ave,D,322,,18th Ave,"('D',)",323
54,18th Ave,F,308,,18th Ave,"('F',)",306
55,18th Ave,N,316,,18th Ave,"('N',)",317
56,18th St,2-Jan,203,,18th St,"('1',)",165
57,190th St,A,397,,190th St,"('A',)",398
58,191st St,1,179,,191st St,"('1',)",134
59,1st Ave,L,146,,1st Ave,"('L',)",85
60,207th St,1,269,,207th St,"('1',)",255
61,20th Ave,D,321,,20th Ave,"('D',)",322
62,20th Ave,N,315,,20th Ave,"('N',)",316
63,215th St,1,268,,215th St,"('1',)",254
64,219th St,5-Feb,273,,219th St,"('2', '5')",263
65,21st St,G,154,,21st St,"('G',)",100
66,21st St - Queensbridge,F,346,,21st St - Queensbridge,"('F',)",347
67,225th St,5-Feb,248,,225th St,"('2', '5')",229
68,231st St,1,267,,231st St,"('1',)",253
69,233rd St,5-Feb,87,,233rd St,"('2', '5')",8
70,238th St,1,6,,238th St,"('1',)",257
71,23rd St,2-Jan,96,,23rd St,"('1',)",20
72,23rd St,4-6-6 Express,92,,23rd St,"('6',)",13
73,23rd St,A-C-E,436,,23rd St,"('C', 'E')",437
74,23rd St,F-M,365,,23rd St,"('F', 'M')",366
75,23rd St,N-Q-R-W,380,,23rd St,"('N', 'R')",381
76,25th Ave,D,313,,25th Ave,"('D',)",314
77,25th St,D-N-R,393,,25th St,"('R',)",394
78,28th St,2-Jan,199,,28th St,"('1',)",161
79,28th St,4-6-6 Express,200,,28th St,"('6',)",162
80,28th St,N-Q-R-W,144,,28th St,"('N', 'R')",83
,,,,,2nd Ave,"('F',)",372
81,30th Ave,N-W,304,,30th Ave,"('N', 'Q')",302
82,33rd St,4-6-6 Express,32,,33rd St,"('6',)",6
83,33rd St,7,293,,33rd St,"('7',)",287
84,34th St - Hudson Yards,7-7 Express,470,,,,
85,34th St - Penn Station,1/2/03,358,,34th St - Penn Station,"('1', '2', '3', 'lirr')",359
86,34th St - Penn Station,A-C-E,437,,34th St - Penn Station,"('A', 'C', 'E', 'lirr')",438
87,36th Ave,N-W,78,,36th Ave,"('N', 'Q')",102
88,36th St,D-N-R,389,,36th St,"('D', 'N', 'R')",390
89,36th St,E-M-R,10,,36th St,"('M', 'R')",295
90,39th Ave,N-W,155,,39th Ave,"('N', 'Q')",101
91,3rd Ave,L,383,,3rd Ave,"('L',)",384
92,3rd Ave - 138th St,6-6 Express,27,,3rd Ave - 138th St,"('6', '6e')",22
93,3rd Ave - 149th St,5-Feb,290,,3rd Ave - 149th St,"('2', '5')",283
94,40th St,7,294,,40th St,"('7',)",288
95,42nd St - Bryant Pk,B-D-F-M,60,,42nd St - Bryant Pk,"('B', 'D', 'F', 'M')",88
96,42nd St - Port Authority Bus Term,A-C-E,362,,42nd St - Port Authority Bus Term,"('A', 'C', 'E')",363
97,45th St,N-R,388,,45th St,"('R',)",389
98,46th St,7,239,,46th St,"('7',)",214
99,46th St,E-M-R,237,,46th St,"('M', 'R')",212
100,47th-50th Sts - Rockefeller Ctr,B-D-F-M,349,,47th-50th Sts - Rockefeller Ctr,"('B', 'D', 'F', 'M')",350
101,49th St,N-Q-R-W,354,,49th St,"('N', 'Q', 'R')",355
102,4th Av - 9th St,D-N-R,382,,4th Ave - 9th St,"('F', 'G', 'R')",375
103,4th Av - 9th St,F-G,374,,,,375
104,50th St,2-Jan,3,,50th St,"('1', '2')",29
105,50th St,A-C-E,347,,50th St,"('C', 'E')",348
106,50th St,D,311,,50th St,"('D',)",311
107,51st St,4-6-6 Express,85,,51st St,"('6',)",3
108,52nd St,7,236,,52nd St,"('7',)",211
109,53rd St,N-R,391,,53rd St,"('R',)",392
110,55th St,D,62,,55th St,"('D',)",310
111,57th St,F,350,,57th St,"('F',)",351
112,57th St,N-Q-R-W,355,,57th St - 7 Av,"('N', 'Q', 'R')",356
113,59th St,N-R,387,,59th St,"('N', 'R')",388
114,59th St - Columbus Circle,2-Jan,94,,,,354
115,59th St - Columbus Circle,A-B-C-D,353,,59th St - Columbus Circle,"('A', 'B', 'C', 'D', '1')",354
116,5th Ave - Bryant Pk,7-7 Express,466,,5th Ave,"('7', '7e')",467
117,5th Ave - 53rd St,E-M,142,,5th Ave - 53rd St,"('E', 'M')",81
118,`,N-R-W,356,,5th Ave - 59th St,"('N', 'Q', 'R')",357
119,62nd St,D,323,,62nd St,"('D',)",324
120,63rd Dr - Rego Park,E-M-R,191,,63rd Dr - Rego Park,"('M', 'R')",148
121,65th St,E-M-R,9,,65th St,"('M', 'R')",206
122,66th St - Lincoln Ctr,2-Jan,88,,66th St - Lincoln Ctr,"('1',)",9
123,67th Ave,E-M-R,67,,67th Ave,"('M', 'R')",171
124,68th St - Hunter College,4-6-6 Express,102,,68th St - Hunter College,"('6',)",31
125,69th St,7,230,,69th St,"('7',)",204
126,6th Ave,L,442,,,,
127,71st St,D,320,,71st St,"('D',)",321
128,72nd St,1/2/03,162,,72nd St,"('1', '2', '3')",110
129,72nd St,A-B-C,56,,72nd St,"('B', 'C')",111
130,72nd St,Q,641,,,,
131,74th St - Broadway,7,231,,74th St - Broadway,"('7',)",205
132,75th Ave,E-F,164,,75th Ave,"('E', 'F')",113
133,75th St - Eldert Ln,J-Z,229,,75th St - Eldert Ln,"('J', 'Z')",203
134,77th St,4-6-6 Express,34,,77th St,"('6',)",156
135,77th St,R,309,,77th St,"('R',)",308
136,79th St,2-Jan,193,,79th St,"('1',)",150
137,79th St,D,319,,79th St,"('D',)",320
138,7th Ave,B-D-E,348,,7th Ave,"('B', 'D', 'E')",349
139,7th Ave,B-Q,120,,7th Ave,"('B', 'Q')",53
140,7th Ave,F-G,108,,7th Ave,"('F', 'G')",39
141,80th St,A-S,465,,80th St,"('A',)",466
142,81st St,A-B-C,163,,81st St,"('B', 'C')",112
143,82nd St - Jackson Hts,7,240,,82nd St - Jackson Hts,"('7',)",215
144,85th St - Forest Pky,J,207,,85th St - Forest Pky,"('J',)",172
145,86th St,2-Jan,86,,86th St,"('1',)",4
146,86th St,4-5-6-6 Express,451,,86th St,"('4', '5', '6', '6e')",452
147,86th St,A-B-C,165,,86th St,"('B', 'C')",115
148,86th St,Q,642,,,,
149,86th St,R,318,,86th St,"('R',)",319
150,88th St,A-S,460,,88th St,"('A',)",461
151,8th Ave,L,443,,,,
152,8th Ave,N,77,,8th Ave,"('N',)",313
153,8th St - NYU,N-Q-R-W,401,,8th St - NYU,"('N', 'R')",402
154,90th St - Elmhurst Av,7,241,,90th St - Elmhurst Av,"('7',)",216
155,96th St,1/2/03,158,,96th St,"('1', '2', '3')",105
156,96th St,4-6-6 Express,33,,96th St,"('6',)",18
157,96th St,A-B-C,57,,96th St,"('B', 'C')",116
158,96th St,Q,643,,,,
159,9th Ave,D,390,,9th Ave,"('D',)",391
160,Alabama Ave,J,225,,Alabama Ave,"('J', 'Z')",198
161,Allerton Ave,5-Feb,257,,Allerton Ave,"('2', '5')",242
162,Aqueduct - North Conduit Av,A,243,,Aqueduct - North Conduit Av,"('A',)",220
163,Aqueduct Racetrack,A,124,,Aqueduct Racetrack,"('A',)",58
164,Astor Pl,4-6-6 Express,1,,Astor Pl,"('6',)",15
165,Astoria - Ditmars Blvd,N-W,252,,Astoria - Ditmars Blvd,"('N', 'Q')",234
166,Astoria Blvd,N-W,251,,Astoria Blvd,"('N', 'Q')",233
167,Atlantic Av - Barclay's Center,2-3-4-5,116,,Atlantic Ave,"('B', 'D', 'Q', 'N', 'R', '2', '3', '4', '5', 'lirr')",49
168,Atlantic Av - Barclay's Center,B-Q,121,,,,49
169,Atlantic Av - Barclay's Center,D-N-Q-R,122,,,,49
170,Atlantic Ave,L,194,,Atlantic Ave,"('L',)",151
171,Ave H,Q,344,,Ave H,"('Q',)",345
172,Ave I,F,342,,Ave I,"('F',)",343
173,Ave J,Q,343,,Ave J,"('Q',)",344
174,Ave M,Q,340,,Ave M,"('Q',)",341
175,Ave N,F,338,,Ave N,"('F',)",339
176,Ave P,F,337,,Ave P,"('F',)",338
177,Ave U,F,325,,Ave U,"('F',)",326
178,Ave U,N,331,,Ave U,"('N',)",332
179,Ave U,Q,329,,Ave U,"('Q',)",330
180,Ave X,F,334,,Ave X,"('F',)",335
181,Bay 50th St,D,335,,Bay 50th St,"('D',)",336
182,Bay Pky,D,314,,Bay Pky,"('D',)",315
183,Bay Pky,F,339,,Bay Pky,"('F',)",340
184,Bay Pky,N,341,,Bay Pky,"('N',)",342
185,Bay Ridge - 95th St,R,317,,Bay Ridge - 95th St,"('R',)",318
186,Bay Ridge Ave,R,310,,Bay Ridge Ave,"('R',)",309
187,Baychester Ave,5,277,,Baychester Ave,"('5',)",267
188,Beach 105th St,A-S,16,,Beach 105th St,"('A', 'S')",138
189,Beach 25th St,A,186,,Beach 25th St,"('A',)",143
190,Beach 36th St,A,185,,Beach 36th St,"('A',)",142
191,Beach 44th St,A,181,,Beach 44th St,"('A',)",136
192,Beach 60th St,A,182,,Beach 60th St,"('A',)",137
193,Beach 67th St,A,205,,Beach 67th St,"('A',)",169
194,Beach 90th St,A-S,17,,Beach 90th St,"('A', 'S')",141
195,Beach 98th St,A-S,183,,Beach 98th St,"('A', 'S')",139
196,Bedford - Nostrand Aves,G,106,,Bedford - Nostrand Aves,"('G',)",37
197,Bedford Ave,L,151,,Bedford Ave,"('L',)",94
198,Bedford Park Blvd,B-D,265,,Bedford Park Blvd,"('B', 'D')",251
