name,human_eq_type,location,serving,status,date,status2,date2,time_spent,nyca_id
125th St,An elevator,,Mezzanine And Downtown,FIXED,2017-03-14 18:28:41,,,,400
125th St,An elevator,,Mezzanine And Downtown,OUTAGE,2017-03-15 12:18:12,FIXED,2017-03-15 13:08:33,0 days 00:50:21.000000000,400
125th St,An elevator,,Mezzanine And Downtown,OUTAGE,2017-03-29 03:38:37,FIXED,2017-03-29 09:09:04,0 days 05:30:27.000000000,400
125th St,An elevator,,Mezzanine And Downtown,OUTAGE,2017-03-30 18:28:44,FIXED,2017-03-30 21:58:46,0 days 03:30:02.000000000,400
125th St,An elevator,,Mezzanine And Uptown,OUTAGE,2017-03-21 18:09:13,FIXED,2017-03-22 00:58:46,0 days 06:49:33.000000000,400
125th St,An elevator,,Mezzanine And Uptown,OUTAGE,2017-03-30 04:18:39,FIXED,2017-03-30 09:38:27,0 days 05:19:48.000000000,400
125th St,An elevator,,Mezzanine To Uptown And Downtown Platforms,OUTAGE,2017-03-21 02:18:33,FIXED,2017-03-21 06:08:45,0 days 03:50:12.000000000,469
125th St,An elevator,,Mezzanine To Uptown And Downtown Platforms,OUTAGE,2017-03-21 18:48:34,FIXED,2017-03-21 21:18:43,0 days 02:30:09.000000000,469
125th St,An elevator,,Mezzanine To Uptown And Downtown Platforms,OUTAGE,2017-03-29 08:28:53,FIXED,2017-03-29 14:09:03,0 days 05:40:10.000000000,469
125th St,An elevator,NE corner of 125th Street and Lexington Avenue,Street To Mezzanine,OUTAGE,2017-03-15 03:48:29,FIXED,2017-03-15 08:58:14,0 days 05:09:45.000000000,469
125th St,An elevator,NE corner of 125th Street and Lexington Avenue,Street To Mezzanine,OUTAGE,2017-03-16 03:38:48,FIXED,2017-03-16 08:58:19,0 days 05:19:31.000000000,469
125th St,An elevator,NE corner of 125th Street and Lexington Avenue,Street To Mezzanine,OUTAGE,2017-03-16 19:28:58,FIXED,2017-03-16 23:18:38,0 days 03:49:40.000000000,469
125th St,An elevator,NE corner of 125th Street and Lexington Avenue,Street To Mezzanine,OUTAGE,2017-03-18 16:48:54,FIXED,2017-03-18 17:38:46,0 days 00:49:52.000000000,469
125th St,An elevator,NE corner of 125th Street and Lexington Avenue,Street To Mezzanine,OUTAGE,2017-03-21 17:58:51,FIXED,2017-03-21 20:28:50,0 days 02:29:59.000000000,469
125th St,An elevator,NE corner of 125th Street and Lexington Avenue,Street To Mezzanine,OUTAGE,2017-04-01 06:18:47,FIXED,2017-04-01 09:28:32,0 days 03:09:45.000000000,469
125th St,An elevator,SW corner of 125 Street and Saint Nicholas Avenue,Street To Mezzanine,FIXED,2017-03-14 16:18:17,,,,400
125th St,An elevator,SW corner of 125 Street and Saint Nicholas Avenue,Street To Mezzanine,OUTAGE,2017-03-15 13:28:33,FIXED,2017-03-16 01:09:01,0 days 11:40:28.000000000,400
125th St,An elevator,SW corner of 125 Street and Saint Nicholas Avenue,Street To Mezzanine,OUTAGE,2017-03-16 18:28:25,FIXED,2017-03-17 03:28:27,0 days 09:00:02.000000000,400
125th St,An elevator,SW corner of 125 Street and Saint Nicholas Avenue,Street To Mezzanine,OUTAGE,2017-03-24 17:58:25,FIXED,2017-03-24 21:38:37,0 days 03:40:12.000000000,400
125th St,An elevator,SW corner of 125 Street and Saint Nicholas Avenue,Street To Mezzanine,OUTAGE,2017-03-29 03:58:27,FIXED,2017-03-29 09:18:50,0 days 05:20:23.000000000,400
14th St - 8 Av,An elevator,,Mezzanine To L Platform,OUTAGE,2017-03-15 04:38:23,FIXED,2017-03-15 08:58:14,0 days 04:19:51.000000000,445
14th St - 8 Av,An elevator,,Mezzanine To L Platform,OUTAGE,2017-03-16 05:28:16,FIXED,2017-03-16 09:08:43,0 days 03:40:27.000000000,445
14th St - 8 Av,An elevator,,Mezzanine To L Platform,OUTAGE,2017-03-19 14:18:30,FIXED,2017-03-19 22:38:24,0 days 08:19:54.000000000,445
14th St - 8 Av,An elevator,,Mezzanine To L Platform,OUTAGE,2017-03-21 03:28:23,FIXED,2017-03-21 09:08:32,0 days 05:40:09.000000000,445
14th St - 8 Av,An elevator,,Mezzanine To L Platform,OUTAGE,2017-03-22 03:38:27,FIXED,2017-03-22 09:08:57,0 days 05:30:30.000000000,445
14th St - 8 Av,An elevator,,Mezzanine To L Platform,OUTAGE,2017-03-22 18:58:54,FIXED,2017-03-23 09:28:42,0 days 14:29:48.000000000,445
14th St - 8 Av,An elevator,,Mezzanine To L Platform,OUTAGE,2017-03-27 22:28:56,FIXED,2017-03-29 00:38:41,1 days 02:09:45.000000000,445
14th St - 8 Av,An elevator,,Mezzanine To L Platform,OUTAGE,2017-03-30 21:48:30,FIXED,2017-03-31 11:08:51,0 days 13:20:21.000000000,445
14th St - 8 Av,An elevator,,Mezzanine To L Platform,OUTAGE,2017-03-31 23:08:47,FIXED,2017-04-01 00:58:57,0 days 01:50:10.000000000,445
14th St - 8 Av,An elevator,,Mezzanine To L Platform,OUTAGE,2017-04-01 12:48:23,,,,445
14th St - 8 Av,An elevator,,Mezzanine To Platform,OUTAGE,2017-03-19 03:08:32,FIXED,2017-03-19 09:09:00,0 days 06:00:28.000000000,445
14th St - 8 Av,An elevator,,Mezzanine To Platform,OUTAGE,2017-03-20 03:18:27,FIXED,2017-03-20 08:58:19,0 days 05:39:52.000000000,445
14th St - 8 Av,An elevator,NW corner of 14th Street and Eighth Avenue,Street To Mezzanine,OUTAGE,2017-03-21 15:09:42,FIXED,2017-03-21 15:48:46,0 days 00:39:04.000000000,445
14th St - 8 Av,An elevator,NW corner of 14th Street and Eighth Avenue,Street To Mezzanine,OUTAGE,2017-03-27 11:48:30,FIXED,2017-03-27 21:19:03,0 days 09:30:33.000000000,445
161st St - Yankee Stadium,An elevator,,"Mezzanine To Downtown B, D",OUTAGE,2017-03-16 04:18:13,FIXED,2017-03-16 09:18:16,0 days 05:00:03.000000000,291
161st St - Yankee Stadium,An elevator,,"Mezzanine To Downtown B, D",OUTAGE,2017-03-20 04:48:28,FIXED,2017-03-20 09:18:32,0 days 04:30:04.000000000,291
161st St - Yankee Stadium,An elevator,,"Mezzanine To Uptown B, D",OUTAGE,2017-03-20 21:58:40,FIXED,2017-03-21 01:18:36,0 days 03:19:56.000000000,291
161st St - Yankee Stadium,An elevator,,"Mezzanine To Uptown B, D",OUTAGE,2017-03-22 04:38:49,FIXED,2017-03-22 07:28:44,0 days 02:49:55.000000000,291
161st St - Yankee Stadium,An elevator,,"Mezzanine To Uptown B, D",OUTAGE,2017-03-23 03:38:45,FIXED,2017-03-23 08:28:45,0 days 04:50:00.000000000,291
161st St - Yankee Stadium,An elevator,,"Mezzanine To Uptown B, D",OUTAGE,2017-03-24 00:58:39,FIXED,2017-03-24 05:28:53,0 days 04:30:14.000000000,291
161st St - Yankee Stadium,An elevator,,"Mezzanine To Uptown B, D",OUTAGE,2017-03-25 02:18:21,FIXED,2017-03-25 06:28:19,0 days 04:09:58.000000000,291
161st St - Yankee Stadium,An elevator,,"Mezzanine To Uptown B, D",OUTAGE,2017-03-25 22:38:21,FIXED,2017-03-26 00:58:18,0 days 02:19:57.000000000,291
161st St - Yankee Stadium,An elevator,,"Mezzanine To Uptown B, D",OUTAGE,2017-03-27 04:58:32,FIXED,2017-03-27 06:28:31,0 days 01:29:59.000000000,291
161st St - Yankee Stadium,An elevator,,"Mezzanine To Uptown B, D",OUTAGE,2017-03-28 20:58:36,FIXED,2017-03-29 17:08:38,0 days 20:10:02.000000000,291
161st St - Yankee Stadium,An elevator,,"Mezzanine To Uptown B, D",OUTAGE,2017-03-30 13:18:34,FIXED,2017-03-30 17:08:43,0 days 03:50:09.000000000,291
161st St - Yankee Stadium,An elevator,,"Mezzanine To Uptown B, D",OUTAGE,2017-03-31 16:08:55,FIXED,2017-03-31 18:38:50,0 days 02:29:55.000000000,291
161st St - Yankee Stadium,An elevator,,Mezzanines To  Uptown 4 Platform,FIXED,2017-03-14 20:58:43,,,,291
161st St - Yankee Stadium,An elevator,,Mezzanines To  Uptown 4 Platform,OUTAGE,2017-03-23 05:18:47,FIXED,2017-03-23 08:08:40,0 days 02:49:53.000000000,291
161st St - Yankee Stadium,An elevator,,Mezzanines To  Uptown 4 Platform,OUTAGE,2017-03-31 13:28:57,FIXED,2017-03-31 15:58:32,0 days 02:29:35.000000000,291
161st St - Yankee Stadium,An elevator,,Mezzanines To  Uptown 4 Platform,OUTAGE,2017-04-01 06:18:47,FIXED,2017-04-01 09:18:41,0 days 02:59:54.000000000,291
161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,FIXED,2017-03-14 17:18:35,,,,291
161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-15 18:28:13,FIXED,2017-03-15 22:28:16,0 days 04:00:03.000000000,291
161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-16 19:28:58,FIXED,2017-03-16 22:58:14,0 days 03:29:16.000000000,291
161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-17 15:58:20,FIXED,2017-03-18 00:58:29,0 days 09:00:09.000000000,291
161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-18 17:18:50,FIXED,2017-03-18 20:28:27,0 days 03:09:37.000000000,291
161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-20 03:08:42,FIXED,2017-03-20 04:38:24,0 days 01:29:42.000000000,291
161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-20 18:28:49,FIXED,2017-03-20 22:28:47,0 days 03:59:58.000000000,291
161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-21 14:38:58,FIXED,2017-03-21 21:08:58,0 days 06:30:00.000000000,291
161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-22 15:10:06,,,,291
161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-23 16:58:42,FIXED,2017-03-23 23:48:22,0 days 06:49:40.000000000,291
161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-24 16:08:27,FIXED,2017-03-25 09:28:43,0 days 17:20:16.000000000,291
161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-26 11:38:18,FIXED,2017-03-27 17:28:52,1 days 05:50:34.000000000,291
161st St - Yankee Stadium,An elevator,NE corner of 161st Street and River Avenue,Street To Mezzanine,FIXED,2017-03-14 19:58:37,,,,291
161st St - Yankee Stadium,An elevator,NE corner of 161st Street and River Avenue,Street To Mezzanine,OUTAGE,2017-03-19 11:18:40,FIXED,2017-03-19 14:08:59,0 days 02:50:19.000000000,291
161st St - Yankee Stadium,An elevator,NE corner of 161st Street and River Avenue,Street To Mezzanine,OUTAGE,2017-03-26 21:28:39,FIXED,2017-03-27 01:28:34,0 days 03:59:55.000000000,291
161st St - Yankee Stadium,An elevator,NE corner of 161st Street and River Avenue,Street To Mezzanine,OUTAGE,2017-04-01 06:18:47,,,,291
161st St - Yankee Stadium,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-15 22:18:34,FIXED,2017-03-16 01:18:15,0 days 02:59:41.000000000,291
161st St - Yankee Stadium,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-15 22:18:34,FIXED,2017-03-16 01:18:15,0 days 02:59:41.000000000,291
161st St - Yankee Stadium,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-22 20:48:54,FIXED,2017-03-22 20:59:03,0 days 00:10:09.000000000,291
161st St - Yankee Stadium,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-22 20:48:54,FIXED,2017-03-22 20:59:03,0 days 00:10:09.000000000,291
161st St - Yankee Stadium,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-23 05:28:32,FIXED,2017-03-23 23:58:35,0 days 18:30:03.000000000,291
161st St - Yankee Stadium,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-23 05:28:32,FIXED,2017-03-23 23:58:35,0 days 18:30:03.000000000,291
161st St - Yankee Stadium,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-26 04:09:15,FIXED,2017-03-26 09:18:45,0 days 05:09:30.000000000,291
161st St - Yankee Stadium,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-26 04:09:15,FIXED,2017-03-26 09:18:45,0 days 05:09:30.000000000,291
161st St - Yankee Stadium,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-30 04:58:31,FIXED,2017-03-30 09:38:27,0 days 04:39:56.000000000,291
161st St - Yankee Stadium,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-30 04:58:31,FIXED,2017-03-30 09:38:27,0 days 04:39:56.000000000,291
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-15 07:58:12,FIXED,2017-03-15 10:48:43,0 days 02:50:31.000000000,133
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-15 07:58:12,FIXED,2017-03-15 10:48:43,0 days 02:50:31.000000000,133
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-15 07:58:12,FIXED,2017-03-15 10:48:43,0 days 02:50:31.000000000,133
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-15 07:58:12,FIXED,2017-03-15 10:48:43,0 days 02:50:31.000000000,133
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-16 03:58:22,FIXED,2017-03-16 09:08:44,0 days 05:10:22.000000000,133
