name,human_eq_type,location,serving,status,date,status2,date2,time_spent_min,nyca_id,number_of_elevators
125th St,An elevator,,Mezzanine And Downtown,OUTAGE,2017-03-15 12:18:12,FIXED,2017-03-15 13:08:33,50,400,3
125th St,An elevator,,Mezzanine And Downtown,OUTAGE,2017-03-29 03:38:37,FIXED,2017-03-29 09:09:04,330,400,3
125th St,An elevator,,Mezzanine And Downtown,OUTAGE,2017-03-30 18:28:44,FIXED,2017-03-30 21:58:46,210,400,3
125th St,An elevator,,Mezzanine And Uptown,OUTAGE,2017-03-21 18:09:13,FIXED,2017-03-22 00:58:46,409,400,3
125th St,An elevator,,Mezzanine And Uptown,OUTAGE,2017-03-30 04:18:39,FIXED,2017-03-30 09:38:27,319,400,3
125th St,An elevator,,Mezzanine And Uptown,OUTAGE,2017-04-05 02:18:28,FIXED,2017-04-05 05:58:25,219,400,3
125th St,An elevator,,Mezzanine To Uptown And Downtown Platforms,OUTAGE,2017-03-21 02:18:33,FIXED,2017-03-21 06:08:45,230,469,2
125th St,An elevator,,Mezzanine To Uptown And Downtown Platforms,OUTAGE,2017-03-21 18:48:34,FIXED,2017-03-21 21:18:43,150,469,2
125th St,An elevator,,Mezzanine To Uptown And Downtown Platforms,OUTAGE,2017-03-29 08:28:53,FIXED,2017-03-29 14:09:03,340,469,2
125th St,An elevator,,Mezzanine To Uptown And Downtown Platforms,OUTAGE,2017-04-03 22:28:54,FIXED,2017-04-04 00:09:51,100,469,2
125th St,An elevator,,Mezzanine To Uptown And Downtown Platforms,OUTAGE,2017-04-07 10:58:37,FIXED,2017-04-07 15:18:37,260,469,2
125th St,An elevator,NE corner of 125th Street and Lexington Avenue,Street To Mezzanine,OUTAGE,2017-03-15 03:48:29,FIXED,2017-03-15 08:58:14,309,469,2
125th St,An elevator,NE corner of 125th Street and Lexington Avenue,Street To Mezzanine,OUTAGE,2017-03-16 03:38:48,FIXED,2017-03-16 08:58:19,319,469,2
125th St,An elevator,NE corner of 125th Street and Lexington Avenue,Street To Mezzanine,OUTAGE,2017-03-16 19:28:58,FIXED,2017-03-16 23:18:38,229,469,2
125th St,An elevator,NE corner of 125th Street and Lexington Avenue,Street To Mezzanine,OUTAGE,2017-03-18 16:48:54,FIXED,2017-03-18 17:38:46,49,469,2
125th St,An elevator,NE corner of 125th Street and Lexington Avenue,Street To Mezzanine,OUTAGE,2017-03-21 17:58:51,FIXED,2017-03-21 20:28:50,149,469,2
125th St,An elevator,NE corner of 125th Street and Lexington Avenue,Street To Mezzanine,OUTAGE,2017-04-01 06:18:47,FIXED,2017-04-01 09:28:32,189,469,2
125th St,An elevator,NE corner of 125th Street and Lexington Avenue,Street To Mezzanine,OUTAGE,2017-04-03 13:28:44,FIXED,2017-04-03 15:09:31,100,469,2
125th St,An elevator,NE corner of 125th Street and Lexington Avenue,Street To Mezzanine,OUTAGE,2017-04-04 22:19:11,FIXED,2017-04-05 14:38:56,600,469,2
125th St,An elevator,NE corner of 125th Street and Lexington Avenue,Street To Mezzanine,OUTAGE,2017-04-05 21:48:39,FIXED,2017-04-06 05:58:48,490,469,2
125th St,An elevator,NE corner of 125th Street and Lexington Avenue,Street To Mezzanine,OUTAGE,2017-04-08 12:28:28,,,600,469,2
125th St,An elevator,SW corner of 125 Street and Saint Nicholas Avenue,Street To Mezzanine,OUTAGE,2017-03-15 13:28:33,FIXED,2017-03-16 01:09:01,600,400,3
125th St,An elevator,SW corner of 125 Street and Saint Nicholas Avenue,Street To Mezzanine,OUTAGE,2017-03-16 18:28:25,FIXED,2017-03-17 03:28:27,540,400,3
125th St,An elevator,SW corner of 125 Street and Saint Nicholas Avenue,Street To Mezzanine,OUTAGE,2017-03-24 17:58:25,FIXED,2017-03-24 21:38:37,220,400,3
125th St,An elevator,SW corner of 125 Street and Saint Nicholas Avenue,Street To Mezzanine,OUTAGE,2017-03-29 03:58:27,FIXED,2017-03-29 09:18:50,320,400,3
125th St,An elevator,SW corner of 125 Street and Saint Nicholas Avenue,Street To Mezzanine,OUTAGE,2017-04-04 04:38:26,,,600,400,3
125th St,An elevator,SW corner of 125 Street and Saint Nicholas Avenue,Street To Mezzanine,OUTAGE,2017-04-04 13:38:27,FIXED,2017-04-04 15:58:30,140,400,3
14th St - 8 Av,An elevator,,Mezzanine To L Platform,OUTAGE,2017-03-15 04:38:23,FIXED,2017-03-15 08:58:14,259,445,5
14th St - 8 Av,An elevator,,Mezzanine To L Platform,OUTAGE,2017-03-16 05:28:16,FIXED,2017-03-16 09:08:43,220,445,5
14th St - 8 Av,An elevator,,Mezzanine To L Platform,OUTAGE,2017-03-19 14:18:30,FIXED,2017-03-19 22:38:24,499,445,5
14th St - 8 Av,An elevator,,Mezzanine To L Platform,OUTAGE,2017-03-21 03:28:23,FIXED,2017-03-21 09:08:32,340,445,5
14th St - 8 Av,An elevator,,Mezzanine To L Platform,OUTAGE,2017-03-22 03:38:27,FIXED,2017-03-22 09:08:57,330,445,5
14th St - 8 Av,An elevator,,Mezzanine To L Platform,OUTAGE,2017-03-22 18:58:54,FIXED,2017-03-23 09:28:42,600,445,5
14th St - 8 Av,An elevator,,Mezzanine To L Platform,OUTAGE,2017-03-27 22:28:56,FIXED,2017-03-29 00:38:41,129,445,5
14th St - 8 Av,An elevator,,Mezzanine To L Platform,OUTAGE,2017-03-30 21:48:30,FIXED,2017-03-31 11:08:51,600,445,5
14th St - 8 Av,An elevator,,Mezzanine To L Platform,OUTAGE,2017-03-31 23:08:47,FIXED,2017-04-01 00:58:57,110,445,5
14th St - 8 Av,An elevator,,Mezzanine To L Platform,OUTAGE,2017-04-01 12:48:23,FIXED,2017-04-04 09:58:57,600,445,5
14th St - 8 Av,An elevator,,Mezzanine To L Platform,OUTAGE,2017-04-05 02:18:28,FIXED,2017-04-05 09:09:01,410,445,5
14th St - 8 Av,An elevator,,Mezzanine To Platform,OUTAGE,2017-03-19 03:08:32,FIXED,2017-03-19 09:09:00,360,445,5
14th St - 8 Av,An elevator,,Mezzanine To Platform,OUTAGE,2017-03-20 03:18:27,FIXED,2017-03-20 08:58:19,339,445,5
14th St - 8 Av,An elevator,,Mezzanine To Platform,OUTAGE,2017-04-04 20:49:00,,,600,445,5
14th St - 8 Av,An elevator,NW corner of 14th Street and Eighth Avenue,Street To Mezzanine,OUTAGE,2017-03-21 15:09:42,FIXED,2017-03-21 15:48:46,39,445,5
14th St - 8 Av,An elevator,NW corner of 14th Street and Eighth Avenue,Street To Mezzanine,OUTAGE,2017-03-27 11:48:30,FIXED,2017-03-27 21:19:03,570,445,5
161st St - Yankee Stadium,An elevator,,"Mezzanine To Downtown B, D",OUTAGE,2017-03-16 04:18:13,FIXED,2017-03-16 09:18:16,300,291,5
161st St - Yankee Stadium,An elevator,,"Mezzanine To Downtown B, D",OUTAGE,2017-03-20 04:48:28,FIXED,2017-03-20 09:18:32,270,291,5
161st St - Yankee Stadium,An elevator,,"Mezzanine To Downtown B, D",OUTAGE,2017-04-07 09:09:13,FIXED,2017-04-07 19:08:54,599,291,5
161st St - Yankee Stadium,An elevator,,"Mezzanine To Uptown B, D",OUTAGE,2017-03-20 21:58:40,FIXED,2017-03-21 01:18:36,199,291,5
161st St - Yankee Stadium,An elevator,,"Mezzanine To Uptown B, D",OUTAGE,2017-03-22 04:38:49,FIXED,2017-03-22 07:28:44,169,291,5
161st St - Yankee Stadium,An elevator,,"Mezzanine To Uptown B, D",OUTAGE,2017-03-23 03:38:45,FIXED,2017-03-23 08:28:45,290,291,5
161st St - Yankee Stadium,An elevator,,"Mezzanine To Uptown B, D",OUTAGE,2017-03-24 00:58:39,FIXED,2017-03-24 05:28:53,270,291,5
161st St - Yankee Stadium,An elevator,,"Mezzanine To Uptown B, D",OUTAGE,2017-03-25 02:18:21,FIXED,2017-03-25 06:28:19,249,291,5
161st St - Yankee Stadium,An elevator,,"Mezzanine To Uptown B, D",OUTAGE,2017-03-25 22:38:21,FIXED,2017-03-26 00:58:18,139,291,5
