nyca_id,name,number_of_elevators,location,serving
1,W 4th St - Washington Sq,3,,Southbound Ll Platform To Southbound Ul Platform
1,W 4th St - Washington Sq,3,NE corner of West 3rd Street and Sixth Avenue,Street To Mezzanine
1,W 4th St - Washington Sq,3,,Middle Mezzanine To Uptown Platforms
1,W 4th St - Washington Sq,3,,Middle Mezzanine To Downtown Platforms
1,W 4th St - Washington Sq,3,,Northbound Ll Platform To Northbound Ul Platform
3,51st St,2,,Downtown Platform To Passageway
3,51st St,2,,Uptown Platform To Passageway
3,51st St,2,,Mezzanine To Platform
5,Brooklyn Bridge - City Hall,3,East of City Hall near Chambers Street and Centre Street,Street To Mezzanine
5,Brooklyn Bridge - City Hall,3,,Mezzanine To Uptown
5,Brooklyn Bridge - City Hall,3,,Mezzanine To Downtown
8,233rd St,3,NW corner of White Plains Road and 233 Street,Street To Mezzanine
8,233rd St,3,,Mezzanine To Uptown
8,233rd St,3,,Mezzanine To Platform
9,66th St - Lincoln Ctr,2,Southwest corner of 66th Street and Broadway,Street To Mezzanine And Downtown Platform
9,66th St - Lincoln Ctr,2,Southeast corner of 66th Street and Broadway,Street To Mezzanine & Uptown Platform
10,Hunts Point Ave,3,Hunts Point Avenue between Bruckner Boulevard and East 163rd Street,Street To Mezzanine
10,Hunts Point Ave,3,,Southbound Platform To Mezzanine
10,Hunts Point Ave,3,,Northbound Platform To Mezzanine
14,Court Sq,3,,Street To Mezzanine Passageway To E/G/M Trains
14,Court Sq,3,,Street To Mezzanine
14,Court Sq,3,,Street To Mezzanine
14,Court Sq,3,NE corner of Jackson Avenue and 23rd Street,Street To Mezzanine
14,Court Sq,3,,Level 2 To Mezzanine
14,Court Sq,3,,Street To Mezzanine
14,Court Sq,3,,Street To Mezzanine Passageway To E/G/M Trains
25,Bleecker St,5,,Downtown 6 Mezzanine To Uptown B/D/F/M Platform
25,Bleecker St,5,North side of Houston Street between Lafayette and Crosby Streets,Street To Mezzanine And Downtown 6 Platform
25,Bleecker St,5,,Uptown 6 Mezzanine To Downtown B/D/F/M Platform
25,Bleecker St,5,,Uptown 6 Mezzanine To Uptown B/D/F/M Platform
25,Bleecker St,5,,Downtown 6 Mezzanine To Downtown B/D/F/M Platform
25,Bleecker St,5,,Northbound Platform To Mezzanine
34,Union Sq - 14th St,3,,Street To Mezzanine All Trains
34,Union Sq - 14th St,3,,Street To Mezzanine All Trains
34,Union Sq - 14th St,3,NE corner of 14th Street and Park Avenue South (Union Square East),Street To Mezzanine
34,Union Sq - 14th St,3,,"Mezzanine To Uptown Platform N,Q,R"
34,Union Sq - 14th St,3,,Mezzanine To Downtown Platform(N&R)
35,Junction Blvd,3,NE corner of Junction Boulevard and Roosevelt Avenue,Street To Mezzanine & Overpass
35,Junction Blvd,3,,Overpass To Uptown Platform
35,Junction Blvd,3,,Overpass To Downtown Platform
41,Church Ave,3,NW corner of Church Avenue and McDonald Avenue,Street To Mezzanine
41,Church Ave,3,,Mezzanine To Uptown
41,Church Ave,3,,Mezzanine To Downtown
46,Prospect Park,2,Lincoln Road between Flatbush Avenue and Ocean Avenue,Street To Uptown Platform
46,Prospect Park,2,Lincoln Road between Flatbush Avenue and Ocean Avenue,Street To Downtown Platform
49,Atlantic Ave,10,,Street To Mezzanine
49,Atlantic Ave,10,Hanson Place and Flatbush Avenue,B/Q/2/3/4/5/LIRR
49,Atlantic Ave,10,Pacific Street and Fourth Avenue,Street to D/N/R
49,Atlantic Ave,10,,"Middle Mezzanine To B,Q Platform"
49,Atlantic Ave,10,,Mezzanine To Downtown
49,Atlantic Ave,10,,"Uptown 2, 3 Platform To Mezzanine"
49,Atlantic Ave,10,,"Mezzanine To 4, 5 Platform"
49,Atlantic Ave,10,,Mezzanine To Uptown
49,Atlantic Ave,10,,Unknown
49,Atlantic Ave,10,,"Mezzanine To Downtown 2,3 Platform"
49,Atlantic Ave,10,,Lower Mezzanine To Upper Mezzanine
49,Atlantic Ave,10,,Lower Mezzanine To Street
49,Atlantic Ave,10,,Street To Mezzanine
57,Borough Hall,2,In front of Supreme Court Building at Court Street and Montague Street,Street To Mezzanine
57,Borough Hall,2,,Mezzanine To Uptown And Downtown Platforms
57,Borough Hall,2,,Southbound Platform To Mezzanine
59,DeKalb Ave,3,SE corner of DeKalb Avenue and Flatbush Avenue,Street To Mezzanine
59,DeKalb Ave,3,,Mezzanine To Uptown
59,DeKalb Ave,3,,Mezzanine To Downtown
59,DeKalb Ave,3,,Southbound Platform To Mezzanine
59,DeKalb Ave,3,,Northbound Platform To Mezzanine
67,Church Ave,2,SW corner of Church Avenue and Nostrand Avenue,Street To Downtown Platform
67,Church Ave,2,SE corner of Church Avenue and Nostrand Avenue,Street To Uptown Platform
69,Brooklyn College - Flatbush Ave,1,Corner of Flatbush Avenue and Nostrand Avenue,Street To Platforms
72,Crown Hts - Utica Ave,2,Corner of Utica Avenue and Eastern Parkway,Street To Mezzanine
72,Crown Hts - Utica Ave,2,,Mezzanine To Platforms
77,Marcy Ave,2,Corner of Marcy Avenue and Broadway,Street To Mezzanine And Downtown Platform
77,Marcy Ave,2,Corner of Marcy Avenue and Broadway,Street To Mezzanine & Uptown Platform
82,Lexington Ave - 53rd St,1,,Mezzanine To Platform
82,Lexington Ave - 53rd St,1,,Center Island Platform To Mezzanine
82,Lexington Ave - 53rd St,1,,Center Island Platform To Mezzanine (3rd Ave)
82,Lexington Ave - 53rd St,1,,Center Island Platform To Mezzanine (3rd Ave)
82,Lexington Ave - 53rd St,1,,Center Island Platform To Mezzanine
82,Lexington Ave - 53rd St,1,,Passageway Mezzanine To Platform E/M
82,Lexington Ave - 53rd St,1,,Center Island Platform To Mezzanine
84,Herald Sq - 34th St,5,Herald Center building on west side of Broadway south of 34th Street,Street To Mezzanine
84,Herald Sq - 34th St,5,,Mezzanine To Uptown
84,Herald Sq - 34th St,5,,Mezzanine To Downtown
84,Herald Sq - 34th St,5,,Mezzanine To Uptown
84,Herald Sq - 34th St,5,,Mezzanine To Downtown
84,Herald Sq - 34th St,5,,Mall Landing To Street
84,Herald Sq - 34th St,5,,Northbound Platform To Mezzanine
84,Herald Sq - 34th St,5,,Northbound Platform To Mezzanine
84,Herald Sq - 34th St,5,,Mezzanine To Mall Landing
84,Herald Sq - 34th St,5,,Northbound Platform To Mezzanine
84,Herald Sq - 34th St,5,,Southbound Platform To Mezzanine
84,Herald Sq - 34th St,5,,Mezzanine And Uptown
84,Herald Sq - 34th St,5,,Southbound Platform To Mezzanine
84,Herald Sq - 34th St,5,,Mall Landing To Street
84,Herald Sq - 34th St,5,,Mezzanine To Mall Landing
84,Herald Sq - 34th St,5,,Southbound Platform To Mezzanine
84,Herald Sq - 34th St,5,,Southbound Platform To Mezzanine
105,96th St,2,Either south side of 96th Street and north side of 95th Street (Inside station house),Street To Downtown Platform
105,96th St,2,Either south side of 96th Street and north side of 95th Street (Inside station house),Street To Uptown Platform
110,72nd St,2,North side of 72nd Street between Broadway and Amsterdam Avenue (Inside station house),Street To Uptown Platform
110,72nd St,2,North side of 72nd Street between Broadway and Amsterdam Avenue (Inside station house),Street To Downtown Platform
