nyca_id,name,location,serving
1,W 4th St - Washington Sq,,Northbound Ll Platform To Northbound Ul Platform
1,W 4th St - Washington Sq,NE corner of West 3rd Street and Sixth Avenue,Street To Mezzanine
1,W 4th St - Washington Sq,,Middle Mezzanine To Uptown Platforms
1,W 4th St - Washington Sq,,Middle Mezzanine To Downtown Platforms
1,W 4th St - Washington Sq,,Southbound Ll Platform To Southbound Ul Platform
10,Hunts Point Ave,Hunts Point Avenue between Bruckner Boulevard and East 163rd Street,Street To Mezzanine
10,Hunts Point Ave,,Southbound Platform To Mezzanine
10,Hunts Point Ave,,Northbound Platform To Mezzanine
105,96th St,Either south side of 96th Street and north side of 95th Street (Inside station house),Street To Downtown Platform
105,96th St,Either south side of 96th Street and north side of 95th Street (Inside station house),Street To Uptown Platform
110,72nd St,North side of 72nd Street between Broadway and Amsterdam Avenue (Inside station house),Street To Uptown Platform
110,72nd St,North side of 72nd Street between Broadway and Amsterdam Avenue (Inside station house),Street To Downtown Platform
114,Kew Gardens - Union Tpke,SE corner of Union Turnpike and Kew Gardens Road,Street To Mezzanine
114,Kew Gardens - Union Tpke,,Mezzanine To Uptown
114,Kew Gardens - Union Tpke,,Mezzanine To Platform
120,135th St,NE corner of 135 Street and Lenox Avenue,Street To Mezzanine & Uptown Platform
133,168th St,SE corner of 168 Street and St. Nicholas Avenue,Street To Mezzanine
133,168th St,,Lower Mezzanine To Upper Mezzanine
133,168th St,,Lower Mezzanine To Upper Mezzanine
133,168th St,,Lower Mezzanine To Upper Mezzanine
133,168th St,,Lower Mezzanine To Upper Mezzanine
133,168th St,,Mezzanine And Uptown
133,168th St,,Mezzanine To Downtown
135,175th St,NE corner of 177th Street and Fort Washington Avenue,Street To Mezzanine
135,175th St,,Mezzanine To Platform
14,Court Sq,,Street To Mezzanine
14,Court Sq,,Street To Mezzanine
14,Court Sq,NE corner of Jackson Avenue and 23rd Street,Street To Mezzanine
14,Court Sq,,Street To Mezzanine
14,Court Sq,,Level 2 To Mezzanine
14,Court Sq,,Street To Mezzanine Passageway To E/G/M Trains
14,Court Sq,,Street To Mezzanine Passageway To E/G/M Trains
140,Rockaway Park - Beach 116 St,,Unknown
157,Woodside - 61st St,NE corner of 61st Street and Roosevelt Avenue,Street To Lirr Platform A & Mezzanine
157,Woodside - 61st St,,Mezzanine To Lirr Platform B
157,Woodside - 61st St,,Mezzanine To Lirr Platform C
157,Woodside - 61st St,,Mezzanine To Uptown
157,Woodside - 61st St,,Mezzanine To Downtown
157,Woodside - 61st St,,Street To Mezzanine
159,Flushing - Main St,Roosevelt Avenue east of Main Street,Street To Mezzanine &Platforms
159,Flushing - Main St,,Street To Mezzanine
159,Flushing - Main St,,Street To Mezzanine
159,Flushing - Main St,,Street To Mezzanine
163,Pelham Bay Park,,Mezzanine To Street
163,Pelham Bay Park,"Back of station beyond escalators, near corner of Westchester Avenue and Bruckner Boulevard",Street To Mezzanine
163,Pelham Bay Park,,Mezzanine To Platform
163,Pelham Bay Park,,Center Island Platform To Street
176,Sutphin Blvd - Archer Av,,Center Island Upper Platform To Mezzanine
176,Sutphin Blvd - Archer Av,,3 Landings
176,Sutphin Blvd - Archer Av,,Mezzanine To Platform
176,Sutphin Blvd - Archer Av,,Street To Ta Mezzanine And Lirr Overpass
176,Sutphin Blvd - Archer Av,,Street To Ta Mezzanine And Lirr Overpass
176,Sutphin Blvd - Archer Av,,Yard To Storage Room
176,Sutphin Blvd - Archer Av,,Street To Ta Mezzanine And Lirr Overpass
176,Sutphin Blvd - Archer Av,,Street To Lirr To Air Train
